original_title,budget,revenue,popularity,release_date,runtime,vote_average,vote_count,Genre1,Genre2,Genre3,Genre4,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,id,cast1,Actor1,Cast2,Actor2,cast3,Actor3,cast4,Actor4,original_language,tagline,homepage,title,overview,,status,production_companies1,production_companies2,production_companies3,production_companies4,production_companies5,production_companies6,production_companies7,production_companies8,production_companies9,production_companies10,production_companies11,production_countries Code 1,production_countries 1,production_countries Code 2,production_countries 2,production_countries Code 3,production_countries 3,production_countries code 4,production_countries 4,Spoken Language Code 1,Spoken Language 1,Spoken Language Code 2,Spoken Language 2,Spoken Language Code 3,Spoken Language 3,Spoken Language Code 4,Spoken Language 4,Spoken Language Code 5,Spoken Language 5,Spoken Language Code 6,Spoken Language 6,ProfitFactor
Avatar,237000000,2787965087,150.437577,10/12/09,162,7.2,11800,Action,Adventure,Fantasy,ScienceFiction,cultureclash,future,spacewar,spacecolony,society,spacetravel,futuristic,romance,space,alien,tribe,alienplanet,cgi,marine,soldier,battle,loveaffair,antiwar,powerrelations,mindandsoul,3d,,,,,,19995,JakeSully,SamWorthington,Neytiri,Dr.GraceAugustine,SigourneyWeaver,Col.Quaritch,TrudyChacon,MichelleRodriguez,en,EntertheWorldofPandora.,http://www.avatarmovie.com/,Avatar,"Inthe22ndcentury,aparaplegicMarineisdispatchedtothemoonPandoraonauniquemission,butbecomestornbetweenfollowingordersandprotectinganaliencivilization.",,Released,IngeniousFilmPartners,TwentiethCenturyFoxFilmCorporation,DuneEntertainment,LightstormEntertainment,,,,,,,,US, United States of America, GB, United Kingdom,,,,,en,English,es,"Spanish, Castilian",,,,,,,,,1
Pirates of the Caribbean: At World's End,300000000,961000000,139.082615,19/5/07,169,6.9,4500,Adventure,Fantasy,Action,,ocean,drugabuse,exoticisland,eastindiatradingcompany,loveofone'slife,traitor,shipwreck,strongwoman,ship,alliance,calypso,afterlife,fighter,pirate,swashbuckler,aftercreditsstinger,,,,,,,,,,,285,CaptainJackSparrow,JohnnyDepp,WillTurner,ElizabethSwann,KeiraKnightley,William\BootstrapBill\Turner,CaptainSaoFeng,ChowYun-fat,en,"Attheendoftheworld,theadventurebegins.",http://disney.go.com/disneypictures/pirates/,PiratesoftheCaribbean:AtWorld'sEnd,"CaptainBarbossa,longbelievedtobedead,hascomebacktolifeandisheadedtotheedgeoftheEarthwithWillTurnerandElizabethSwann.Butnothingisquiteasitseems.",,Released,WaltDisneyPictures,JerryBruckheimerFilms,SecondMateProductions,,,,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,1
Spectre,245000000,880674609,107.376788,26/10/15,148,6.3,4466,Action,Adventure,Crime,,spy,basedonnovel,secretagent,sequel,mi6,britishsecretservice,unitedkingdom,,,,,,,,,,,,,,,,,,,,206647,JamesBond,DanielCraig,Blofeld,Madeleine,L\u00e9aSeydoux,M,Lucia,MonicaBellucci,en,APlanNoOneEscapes,http://www.sonypictures.com/movies/spectre/,Spectre,"AcrypticmessagefromBondäó»spastsendshimonatrailtouncoverasinisterorganization.WhileMbattlespoliticalforcestokeepthesecretservicealive,BondpeelsbackthelayersofdeceittorevealtheterribletruthbehindSPECTRE.",,Released,ColumbiaPictures,Danjaq,B,,,,,,,,,GB, United Kingdom, US, United States of America,,,,,fr,French,en,English,es,"Spanish, Castilian",it,Italian,de,German,,,1
The Dark Knight Rises,250000000,1084939099,112.31295,16/7/12,165,7.6,9106,Action,Crime,Drama,Thriller,dccomics,crimefighter,terrorist,secretidentity,burglar,hostagedrama,timebomb,gothamcity,vigilante,cover-up,superhero,villainess,tragichero,terrorism,destruction,catwoman,catburglar,imax,flood,criminalunderworld,batman,,,,,,49026,BruceWayne/Batman,ChristianBale,AlfredPennyworth,JamesGordon,GaryOldman,SelinaKyle/Catwoman,Bane,TomHardy,en,TheLegendEnds,http://www.thedarkknightrises.com/,TheDarkKnightRises,"FollowingthedeathofDistrictAttorneyHarveyDent,BatmanassumesresponsibilityforDent'scrimestoprotectthelateattorney'sreputationandissubsequentlyhuntedbytheGothamCityPoliceDepartment.Eightyearslater,BatmanencountersthemysteriousSelinaKyleandthevillainousBane,anewterroristleaderwhooverwhelmsGotham'sfinest.TheDarkKnightresurfacestoprotectacitythathasbrandedhimanenemy.",,Released,LegendaryPictures,WarnerBros.,DCEntertainment,Syncopy,,,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,1
John Carter,260000000,284139100,43.926995,7/3/12,132,6.1,2124,Action,Adventure,ScienceFiction,,basedonnovel,mars,medallion,spacetravel,princess,alien,steampunk,martian,escape,edgarriceburroughs,alienrace,superhumanstrength,marscivilization,swordandplanet,19thcentury,3d,,,,,,,,,,,49529,JohnCarter,TaylorKitsch,DejahThoris,Sola,SamanthaMorton,TarsTarkas,TalHajus,ThomasHadenChurch,en,"Lostinourworld,foundinanother.",http://movies.disney.com/john-carter,JohnCarter,"JohnCarterisawar-weary,formermilitarycaptainwho'sinexplicablytransportedtothemysteriousandexoticplanetofBarsoom(Mars)andreluctantlybecomesembroiledinanepicconflict.It'saworldonthebrinkofcollapse,andCarterrediscovershishumanitywhenherealizesthesurvivalofBarsoomanditspeoplerestsinhishands.",,Released,WaltDisneyPictures,,,,,,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,1
Spider-Man 3,258000000,890871626,115.699814,1/5/07,139,5.9,3576,Fantasy,Action,Adventure,,dualidentity,amnesia,sandstorm,loveofone'slife,forgiveness,spider,wretch,deathofafriend,egomania,sand,narcism,hostility,marvelcomic,sequel,superhero,revenge,,,,,,,,,,,559,PeterParker/Spider-Man,TobeyMaguire,MaryJaneWatson,HarryOsborn/NewGoblin,JamesFranco,FlintMarko/Sandman,EddieBrock/Venom,TopherGrace,en,Thebattlewithin.,http://www.sonypictures.com/movies/spider-man3/,Spider-Man3,"TheseeminglyinvincibleSpider-Mangoesupagainstanall-newcropofvillainäóñincludingtheshape-shiftingSandman.WhileSpider-Manäó»ssuperpowersarealteredbyanalienorganism,hisalterego,PeterParker,dealswithnemesisEddieBrockandalsogetscaughtupinalovetriangle.",,Released,ColumbiaPictures,LauraZiskinProductions,MarvelEnterprises,,,,,,,,,US, United States of America,,,,,,,en,English,fr,French,,,,,,,,,1
Tangled,260000000,591794936,48.681969,24/11/10,100,7.4,3330,Animation,Family,,,hostage,magic,horse,fairytale,musical,princess,animation,tower,blondewoman,selfishness,healingpower,basedonfairytale,duringcreditsstinger,healinggift,animalsidekick,,,,,,,,,,,,38757,FlynnRider(voice),ZacharyLevi,Rapunzel(voice),MotherGothel(voice),DonnaMurphy,StabbingtonBrother(voice),CaptainoftheGuard(voice),M.C.Gainey,en,They'retakingadventuretonewlengths.,http://disney.go.com/disneypictures/tangled/,Tangled,"Whenthekingdom'smostwanted-andmostcharming-banditFlynnRiderhidesoutinamysterioustower,he'stakenhostagebyRapunzel,abeautifulandfeistytower-boundteenwith70feetofmagical,goldenhair.Flynn'scuriouscaptor,who'slookingforherticketoutofthetowerwhereshe'sbeenlockedawayforyears,strikesadealwiththehandsomethiefandtheunlikelyduosetsoffonanaction-packedescapade,completewithasuper-cophorse,anover-protectivechameleonandagruffgangofpubthugs.",,Released,WaltDisneyPictures,WaltDisneyAnimationStudios,,,,,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,1
Avengers: Age of Ultron,280000000,1405403694,134.279229,22/4/15,141,7.3,6767,Action,Adventure,ScienceFiction,,marvelcomic,sequel,superhero,basedoncomicbook,vision,superheroteam,duringcreditsstinger,marvelcinematicuniverse,3d,,,,,,,,,,,,,,,,,,99861,TonyStark/IronMan,RobertDowneyJr.,ThorOdinson,BruceBanner/Hulk,MarkRuffalo,SteveRogers/CaptainAmerica,NatashaRomanoff/BlackWidow,ScarlettJohansson,en,ANewAgeHasCome.,http://marvel.com/movies/movie/193/avengers_age_of_ultron,Avengers:AgeofUltron,"WhenTonyStarktriestojumpstartadormantpeacekeepingprogram,thingsgoawryandEarthäó»sMightiestHeroesareputtotheultimatetestasthefateoftheplanethangsinthebalance.AsthevillainousUltronemerges,itisuptoTheAvengerstostophimfromenactinghisterribleplans,andsoonuneasyalliancesandunexpectedactionpavethewayforanepicanduniqueglobaladventure.",,Released,MarvelStudios,PrimeFocus,RevolutionSunStudios,,,,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,1
Harry Potter and the Half-Blood Prince,250000000,933959197,98.885637,7/7/09,153,7.4,5293,Adventure,Fantasy,Family,,witch,magic,broom,schoolofwitchcraft,wizardry,apparition,teenagecrush,werewolf,,,,,,,,,,,,,,,,,,,767,HarryPotter,DanielRadcliffe,RonWeasley,HermioneGranger,EmmaWatson,DracoMalfoy,AlbusDumbledore,MichaelGambon,en,DarkSecretsRevealed,http://harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html,HarryPotterandtheHalf-BloodPrince,"AsHarrybeginshissixthyearatHogwarts,hediscoversanoldbookmarkedas'PropertyoftheHalf-BloodPrince',andbeginstolearnmoreaboutLordVoldemort'sdarkpast.",,Released,WarnerBros.,HeydayFilms,,,,,,,,,,GB, United Kingdom, US, United States of America,,,,,en,English,,,,,,,,,,,1
Batman v Superman: Dawn of Justice,250000000,873260194,155.790452,23/3/16,151,5.7,7004,Action,Adventure,Fantasy,,dccomics,vigilante,superhero,basedoncomicbook,revenge,superpowers,clarkkent,brucewayne,dcextendeduniverse,,,,,,,,,,,,,,,,,,209112,BruceWayne/Batman,BenAffleck,ClarkKent/Superman,DianaPrince/WonderWoman,GalGadot,LoisLane,LexLuthor,JesseEisenberg,en,Justiceorrevenge,http://www.batmanvsupermandawnofjustice.com/,BatmanvSuperman:DawnofJustice,"Fearingtheactionsofagod-likeSuperHeroleftunchecked,GothamCityäó»sownformidable,forcefulvigilantetakesonMetropolisäó»smostrevered,modern-daysavior,whiletheworldwrestleswithwhatsortofheroitreallyneeds.AndwithBatmanandSupermanatwarwithoneanother,anewthreatquicklyarises,puttingmankindingreaterdangerthanitäó»severknownbefore.",,Released,DCComics,AtlasEntertainment,WarnerBros.,DCEntertainment,Cruel&UnusualFilms,RatPac-DuneEntertainment,,,,,,US, United States of America,,,,,,,en,English,,,,,,,,,,,1
